pair	counts	frac	slide_submitter_id
CAFs-T_cells	67	0.12737642585551331	TCGA-QB-AA9O-06A-01-TS1
CAFs-endothelial_cells	21	0.23863636363636365	TCGA-QB-AA9O-06A-01-TS1
CAFs-tumor_purity	14	0.01991465149359886	TCGA-QB-AA9O-06A-01-TS1
T_cells-endothelial_cells	26	0.05078125	TCGA-QB-AA9O-06A-01-TS1
T_cells-tumor_purity	236	0.25934065934065936	TCGA-QB-AA9O-06A-01-TS1
endothelial_cells-tumor_purity	1	0.0015128593040847202	TCGA-QB-AA9O-06A-01-TS1
CAFs-T_cells	327	0.8885869565217391	TCGA-EE-A2M8-06A-01-TS1
CAFs-endothelial_cells	327	0.9369627507163324	TCGA-EE-A2M8-06A-01-TS1
CAFs-tumor_purity	5	0.014285714285714285	TCGA-EE-A2M8-06A-01-TS1
T_cells-endothelial_cells	337	0.9207650273224044	TCGA-EE-A2M8-06A-01-TS1
T_cells-tumor_purity	15	0.04087193460490463	TCGA-EE-A2M8-06A-01-TS1
endothelial_cells-tumor_purity	9	0.025423728813559324	TCGA-EE-A2M8-06A-01-TS1
CAFs-T_cells	51	0.3984375	TCGA-EE-A2MH-06A-01-TSA
CAFs-endothelial_cells	54	0.31952662721893493	TCGA-EE-A2MH-06A-01-TSA
CAFs-tumor_purity	1	0.007518796992481203	TCGA-EE-A2MH-06A-01-TSA
T_cells-endothelial_cells	110	0.6043956043956044	TCGA-EE-A2MH-06A-01-TSA
T_cells-tumor_purity	27	0.1534090909090909	TCGA-EE-A2MH-06A-01-TSA
endothelial_cells-tumor_purity	61	0.3279569892473118	TCGA-EE-A2MH-06A-01-TSA
CAFs-T_cells	138	0.1940928270042194	TCGA-DA-A95W-06A-01-TSA
CAFs-endothelial_cells	68	0.3383084577114428	TCGA-DA-A95W-06A-01-TSA
CAFs-tumor_purity	68	0.11992945326278659	TCGA-DA-A95W-06A-01-TSA
T_cells-endothelial_cells	64	0.09302325581395349	TCGA-DA-A95W-06A-01-TSA
T_cells-tumor_purity	283	0.3389221556886228	TCGA-DA-A95W-06A-01-TSA
endothelial_cells-tumor_purity	26	0.05078125	TCGA-DA-A95W-06A-01-TSA
CAFs-T_cells	165	0.2112676056338028	TCGA-FS-A1ZF-06A-01-TS1
CAFs-endothelial_cells	596	0.7862796833773087	TCGA-FS-A1ZF-06A-01-TS1
CAFs-tumor_purity	312	0.32466181061394384	TCGA-FS-A1ZF-06A-01-TS1
